TERM_CODE,CRN,PART_TERM,NO_STUDENTS,AVG_MARK,MARK_100_80,MARK_79_70,MARK_69_60,MARK_59_50,MARK_49_40,MARK_39_25,MARK_24_0,ASSESS_EXAM,ASSESS_CRSE,ASSESS_OTHER
201314,21577,S1,43,  62.74,   2.33,  30.23,  32.56,  23.26,   6.98,   4.65,    .00,    .00,  40.00,  60.00
201314,21589,S1,31,  65.29,    .00,  32.26,  48.39,  19.35,    .00,    .00,    .00,  60.00,  40.00,    .00
201314,21593,S1,290,  55.06,   6.55,  12.76,  22.41,  24.14,  17.59,  12.07,   4.48,  70.00,  30.00,    .00
201314,21595,S1,23,  60.26,    .00,  13.04,  52.17,  26.09,   4.35,    .00,   4.35,    .00, 100.00,    .00
201314,21596,S1,31,  62.29,    .00,  22.58,  58.06,  12.90,    .00,   3.23,   3.23,    .00, 100.00,    .00
201314,21668,S1,135,  60.76,  10.37,  23.70,  22.22,  28.15,   7.41,   2.96,   5.19,  70.00,  30.00,    .00
201314,21671,S1,43,  66.40,   2.33,  30.23,  51.16,  11.63,   4.65,    .00,    .00,  40.00,    .00,  60.00
201314,21681,S1,1,  23.00,    .00,    .00,    .00,    .00,    .00,    .00, 100.00,    .00,  75.00,  25.00
201314,21682,S1,1,  66.00,    .00,    .00, 100.00,    .00,    .00,    .00,    .00,    .00, 100.00,    .00
201314,21697,1,20,  85.50,  95.00,   5.00,    .00,    .00,    .00,    .00,    .00,    .00,  93.75,   6.25
201314,21757,S1,70,  61.71,   2.86,  34.29,  31.43,  15.71,   7.14,   5.71,   2.86,  90.00,  10.00,    .00
201314,21771,S1,166,  59.98,   1.20,  15.06,  51.20,  21.69,   6.02,   2.41,   2.41,  60.00,  40.00,    .00
201314,21781,S1,81,  64.14,   1.23,  22.22,  55.56,  18.52,   1.23,    .00,   1.23,  70.00,  30.00,    .00
201314,21782,S1,15,  61.00,    .00,  20.00,  33.33,  40.00,   6.67,    .00,    .00,  60.00,  30.00,  10.00
201314,21925,1,4,  47.00,    .00,    .00,    .00,  25.00,  75.00,    .00,    .00,    .00, 100.00,    .00
201314,21930,S1,61,  63.18,  18.03,  21.31,  18.03,  19.67,  14.75,   4.92,   3.28,    .00, 100.00,    .00
201314,21932,S1,10,  55.60,    .00,  10.00,  20.00,  40.00,  20.00,  10.00,    .00,  80.00,  20.00,    .00
201314,21933,S1,21,  68.81,  38.10,  14.29,  23.81,   4.76,  14.29,    .00,   4.76,  80.00,  20.00,    .00
201314,21944,S1,12,  63.42,    .00,  25.00,  58.33,   8.33,    .00,   8.33,    .00,  50.00,  50.00,    .00
201314,21946,S1,25,  64.20,    .00,  20.00,  68.00,   8.00,    .00,   4.00,    .00,  50.00,  50.00,    .00
201314,21948,S1,24,  63.08,    .00,  25.00,  50.00,  16.67,   4.17,   4.17,    .00,  50.00,  50.00,    .00
201314,21976,S1,8,  58.63,  12.50,  25.00,  37.50,    .00,  12.50,    .00,  12.50,  50.00,  50.00,    .00
201314,21979,S1,1,  71.00,    .00, 100.00,    .00,    .00,    .00,    .00,    .00,    .00, 100.00,    .00
201314,22030,S1,12,  58.33,    .00,   8.33,  66.67,  16.67,    .00,    .00,   8.33,    .00, 100.00,    .00
201314,22033,S1,31,  64.23,    .00,  19.35,  61.29,  16.13,   3.23,    .00,    .00,    .00, 100.00,    .00
201314,22047,S1,44,  62.59,    .00,  11.36,  65.91,  20.45,    .00,   2.27,    .00,    .00, 100.00,    .00
201314,22049,S1,10,  67.40,  10.00,  20.00,  40.00,  30.00,    .00,    .00,    .00,  70.00,  30.00,    .00
201314,22147,S1,44,  61.30,    .00,   6.82,  65.91,  22.73,    .00,   4.55,    .00,  50.00,    .00,  50.00
201314,22172,S1,23,  60.30,   4.35,  34.78,  30.43,  13.04,   8.70,   4.35,   4.35,  40.00,    .00,  60.00
201314,22175,S1,38,  61.92,    .00,  15.79,  55.26,  21.05,    .00,   5.26,   2.63,  49.00,  31.00,  20.00
201314,22186,S1,27,  63.81,    .00,  37.04,  48.15,   7.41,    .00,   7.41,    .00,    .00,  90.00,  10.00
201314,22409,S1,27,  59.07,    .00,   3.70,  51.85,  37.04,   3.70,   3.70,    .00,  40.00,  60.00,    .00
201314,23001,S1,19,  62.11,  10.53,  26.32,  26.32,  21.05,   5.26,   5.26,   5.26,  50.00,    .00,  50.00
201314,23002,S1,31,  62.35,   3.23,  16.13,  48.39,  29.03,   3.23,    .00,    .00,  60.00,    .00,  40.00
201314,23008,S1,261,  59.52,  13.79,  19.16,  22.22,  21.84,   8.81,   7.66,   6.51,  70.00,  30.00,    .00
201314,23010,S1,253,  53.88,   7.11,  13.83,  21.74,  19.76,  19.76,   9.09,   8.70,  70.00,  30.00,    .00
201314,23012,S1,101,  58.36,  12.87,  15.84,  20.79,  20.79,  14.85,  10.89,   3.96,  80.00,  20.00,    .00
201314,23020,S1,30,  68.60,  16.67,  33.33,  33.33,  13.33,   3.33,    .00,    .00,    .00, 100.00,    .00
201314,23024,S1,38,  57.18,    .00,  26.32,  23.68,  23.68,  18.42,   2.63,   5.26,  50.00,    .00,  50.00
201314,23025,S1,109,  61.37,   2.75,  22.94,  32.11,  25.69,  14.68,    .92,    .92,  70.00,  10.00,  20.00
201314,23029,S1,106,  54.97,   1.89,  16.04,  26.42,  24.53,  16.04,  11.32,   3.77,  70.00,   5.00,  25.00
201314,23031,S1,28,  59.57,    .00,  10.71,  71.43,   7.14,    .00,   3.57,   7.14,    .00, 100.00,    .00
201314,23039,S1,88,  60.97,    .00,   6.82,  56.82,  31.82,   4.55,    .00,    .00,    .00,  80.00,  20.00
201314,23040,S1,70,  59.23,    .00,  12.86,  30.00,  50.00,   7.14,    .00,    .00,    .00, 100.00,    .00
201314,23041,S1,14,  49.79,    .00,   7.14,  35.71,  14.29,  14.29,  14.29,  14.29,  50.00,  50.00,    .00
201314,23056,S1,15,  65.47,    .00,  20.00,  66.67,  13.33,    .00,    .00,    .00,    .00, 100.00,    .00
201314,23061,S1,1,  70.00,    .00, 100.00,    .00,    .00,    .00,    .00,    .00,    .00, 100.00,    .00
201314,23067,S1,161,  59.32,    .00,   3.11,  66.46,  22.36,   3.73,   1.86,   2.48,  98.00,   2.00,    .00
201314,23089,S1,12,  60.00,    .00,  16.67,  41.67,  25.00,   8.33,    .00,   8.33,  75.00,  25.00,    .00
201314,23099,S1,102,  61.88,    .98,  13.73,  63.73,  14.71,   6.86,    .00,    .00,    .00, 100.00,    .00
201314,23110,S1,4,  67.75,    .00,  75.00,    .00,  25.00,    .00,    .00,    .00,    .00,  80.00,  20.00
201314,23114,S1,25,  64.44,    .00,  28.00,  48.00,  24.00,    .00,    .00,    .00,    .00,  80.00,  20.00
201314,23122,1,1,  70.00,    .00, 100.00,    .00,    .00,    .00,    .00,    .00,    .00, 100.00,    .00
